word,word_normalized,length,char_counts
همایش,همایش,5,"{""ه"": 1, ""م"": 1, ""ا"": 1, ""ی"": 1, ""ش"": 1}"
موز,موز,3,"{""م"": 1, ""و"": 1, ""ز"": 1}"
مرگ,مرگ,3,"{""م"": 1, ""ر"": 1, ""گ"": 1}"
گاز,گاز,3,"{""گ"": 1, ""ا"": 1, ""ز"": 1}"
گرز,گرز,3,"{""گ"": 1, ""ر"": 1, ""ز"": 1}"
گاو,گاو,3,"{""گ"": 1, ""ا"": 1, ""و"": 1}"
گراز,گراز,4,"{""گ"": 1, ""ر"": 1, ""ا"": 1, ""ز"": 1}"
گرما,گرما,4,"{""گ"": 1, ""ر"": 1, ""م"": 1, ""ا"": 1}"
آرام,ارام,4,"{""ا"": 2, ""ر"": 1, ""م"": 1}"
آزار,ازار,4,"{""ا"": 2, ""ز"": 1, ""ر"": 1}"
آوار,اوار,4,"{""ا"": 2, ""و"": 1, ""ر"": 1}"
آواز,اواز,4,"{""ا"": 2, ""و"": 1, ""ز"": 1}"
مزار,مزار,4,"{""م"": 1, ""ز"": 1, ""ا"": 1, ""ر"": 1}"
آموزگار,اموزگار,7,"{""ا"": 2, ""م"": 1, ""و"": 1, ""ز"": 1, ""گ"": 1, ""ر"": 1}"
دره,دره,3,"{""د"": 1, ""ر"": 1, ""ه"": 1}"
درد,درد,3,"{""د"": 2, ""ر"": 1}"
داد,داد,3,"{""د"": 2, ""ا"": 1}"
دنده,دنده,4,"{""د"": 2, ""ن"": 1, ""ه"": 1}"
نرده,نرده,4,"{""ن"": 1, ""ر"": 1, ""د"": 1, ""ه"": 1}"
نادر,نادر,4,"{""ن"": 1, ""ا"": 1, ""د"": 1, ""ر"": 1}"
رنده,رنده,4,"{""ر"": 1, ""ن"": 1, ""د"": 1, ""ه"": 1}"
درنده,درنده,5,"{""د"": 2, ""ر"": 1, ""ن"": 1, ""ه"": 1}"
دندان,دندان,5,"{""د"": 2, ""ن"": 2, ""ا"": 1}"
